🎬主频道,#genre#
CCTV17,http://106.59.3.203:55555/rtp/239.200.201.128:8504
CCTV17,http://1.58.246.115:4001/rtp/229.58.190.211:5000
CCTV17,http://111.162.206.238:8686/rtp/225.1.2.52:5002
CCTV17,http://121.231.65.86:8095/rtp/239.49.8.52:9810
CCTV17,http://115.171.216.120:4000/rtp/225.1.8.17:8144
CCTV17,http://61.159.135.203:4022/rtp/238.255.2.137:5999
CCTV17,http://114.100.195.224:4022/rtp/238.1.78.178:7296
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV17,http://148.135.93.213:81/live.php?id=CCTV17
CCTV17,http://148.135.93.213/live.php?id=CCTV17
CCTV2,http://223.167.245.20:8001/rtp/239.45.3.208:5140
CCTV2,http://114.107.46.215:8188/rtp/238.1.78.235:7752
CCTV2,http://114.254.38.200:18888/rtp/239.3.1.60:8084
CCTV2,http://223.198.242.211:4000/rtp/239.253.64.195:5140
CCTV2,http://61.159.135.108:18000/rtp/238.255.2.11:5999
CCTV2,http://115.171.80.57:1688/rtp/225.1.8.2:8084
CCTV2,http://171.113.214.167:4022/rtp/239.69.1.102:10250
CCTV2,http://111.113.88.198:2000/rtp/239.121.4.155:8914
CCTV2,http://27.191.202.62:19999/rtp/239.254.200.158:6000
CCTV2,http://1.58.246.115:4000/rtp/229.58.190.153:5000
CCTV2,http://180.105.201.177:9981/rtp/239.49.8.130:6000
CCTV2,http://180.105.201.177:9981/rtp/239.49.8.50:9802
CCTV2,http://106.120.13.134:4022/rtp/225.1.8.2:8084
